DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2025-06-04,1019909,TAUPE,290 CM 100% POLYESTER,5.6,8.96,
,2025-06-04,1017061,ROUGE,300 CM 100% POLYESTER,27.0,7.71,
,2025-06-04,10192529,ANTRACITE,300 CM 100% POLYESTER,26.3,7.15,
,2025-06-04,10192061,GRIS ARGENT,300 CM 100% POLYESTER,22.0,8.5,
,2025-06-04,1010110,BLANC,DAGMAR 260 CM 100% POLYESTER,26.0,4.58,
,2025-06-04,1017476,BLANC,290 CM 100% POLYESTER,36.8,10.18,
,2025-06-04,1018371,BLANC,300 CM 100% POLYESTER,32.0,7.79,
,2025-07-24,1018883,TURQUOISE,300 CM 100% POLYESTER,26.0,9.32,
