DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2025-07-03,COL 420,BORDEAUX,COTON,30.5,5.05,
,2025-07-03,COL 301,BEIGE,COTON,60.0,4.3,
,2025-07-03,COL 279,ORANGE,COTON,30.0,5.05,
,2025-07-03,COL NERO,NOIR,COTON,30.0,5.05,
,2025-07-03,COL 425,ARDOISE,COTON,30.0,5.05,
,2025-07-03,COL 2010,PAILLE,PERCALE,60.0,5.2,
,2025-07-03,COL 301,CHAMPAGNE,PERCALE,60.4,5.2,
,2025-07-03,COL 447,AUBERGINE,PERCALE,60.0,6.15,
,2025-07-03,COL 520,VERT,PERCALE,30.0,5.2,
,2025-07-03,COL 442,CIEL,PERCALE,60.3,5.2,
,2025-07-03,COL 480,TAUPE,SATIN COTON,30.0,7.45,
,2025-07-03,COL 323,CHAMPAGNE,SATIN COTON,30.0,6.9,
,2025-07-03,PELI300B,BLANC,SATIN COTON,60.0,6.35,170.0
,2025-07-25,COL 703,CIEL,COTON,60.7,4.3,
,2025-07-25,COL 372,BILLARD,COTON,60.0,5.05,
,2025-07-25,COL 962,GRIS CLAIR,COTON,60.0,4.3,
,2025-07-25,COL 103,PAILLE,COTON,60.0,4.3,
,2025-07-25,COL 18309,MARRON,PERCALE,30.0,6.15,
,2025-07-25,COL 991,FICELLE,PERCALE,61.6,5.6,
,2025-07-25,PEGI30BO,BLANC,PERCALE,60.0,4.55,
,2025-07-25,COL 644,GRIS,PERCALE,30.6,5.6,
,2025-07-25,COL BCO OTT,BLANC,LIN,30.0,19.15,203.0
,2025-08-27,COL 301,CHAMPAGNE,PERCALE ,60.0,5.2,
,2025-08-27,COL 991,FICELLE,PERCALE,60.0,5.6,57.0
,2025-09-08,COL 456,SAFRAN,COTON,30.0,4.65,
,2025-09-08,COL 279,ORANGE,COTON,30.0,5.05,
,2025-09-08,COL 420,BORDEAUX,COTON,60.0,5.05,
,2025-09-08,COL 535,MAUVE,COTON,30.0,4.65,
,2025-09-08,COL 475,LIE DE VIN,COTON,31.5,5.05,
,2025-09-08,COL 439,ANIS,COTON,60.5,5.05,
,2025-09-08,COL 392,ROUGE,COTON,30.0,5.05,
,2025-09-08,COL 962,GRIS CLAIR,COTON,60.0,4.3,
,2025-09-08,COL 301,BEIGE,COTON,60.2,4.3,
,2025-09-08,COL NERO,NOIR,COTON,61.8,5.05,
,2025-09-08,COL 703,CIEL,COTON,11.0,4.3,
,2025-09-08,COL 301 ,CHAMPAGNE,PERCALE ,60.0,5.2,
,2025-09-08,COL 520,VERT,PERCALE,30.0,5.2,
,2025-09-08,COL 640,BUBBLE GUM,PERCALE ,60.0,6.15,
,2025-09-08,COL 2010,PAILLE,PERCALE ,30.0,5.2,
,2025-09-08,COL BCO OTT,BLANC,SATIN COTON,60.0,6.35,
,2025-09-08,COL 480,TAUPE,SATIN COTON,30.0,7.45,
,2025-09-08,COL 17467,GRIS,SATIN COTON,33.5,8.55,
,2025-09-08,COL 323,CHAMPAGNE,SATIN COTON,60.0,6.9,330.0
,2025-10-16,COL 456,SAFRAN,COTON,30.0,4.65,
,2025-10-16,COL 475,LIE DE VIN,COTON,30.3,5.05,
,2025-10-16,COL 439,ANIS,COTON,30.0,5.05,
,2025-10-16,COL 962 ,GRIS CLAIR,COTON,30.0,4.3,
,2025-10-16,COL 703,CIEL,COTON,60.0,4.3,
,2025-10-16,COL 459,VIEUX ROSE,COTON,30.6,4.3,
,2025-10-16,COL 370,MARINE,COTON,30.0,5.05,
,2025-10-16,COL 425,ARDOISE,COTON,30.0,5.05,
,2025-10-16,COL 103,PEAR SORBET,COTON,66.5,4.3,
,2025-10-16,COL 991,FICELLE,PERCALE,30.0,5.6,
,2025-10-16,COL 442,CIEL,PERCALE,30.0,5.2,
,2025-10-16,COL BCO OTT,BLANC,PERCALE,60.0,4.55,
,2025-10-16,COL 612,ROSE,PERCALE,30.0,5.2,
,2025-10-16,COL 424,PERVENCHE,PERCALE,30.3,5.6,
,2025-10-16,COL BCO OTT,BLANC,SATIN COTON,60.7,6.35,
,2025-10-16,COL 480,TAUPE,SATIN COTON,32.0,7.45,
,2025-10-16,COL 17467,GRIS,SATIN COTON,30.0,8.55,190.0
,2025-11-21,COL 475,LIE DE VIN,COTON,30.0,5.05,
,2025-11-21,COL 392,ROUGE,COTON,26.8,5.05,
,2025-11-21,COL 962,GRIS CLAIR,COTON,60.0,4.3,
,2025-11-21,COL 535,MAUVE,COTON,30.0,4.65,
,2025-11-21,COL 279,ORANGE,COTON,30.0,5.05,
,2025-11-21,COL 425,ARDOISE,COTON,30.0,5.05,
,2025-11-21,COL 442,CIEL,PERCALE,60.0,5.2,
,2025-11-21,PEGI30BO,BLANC,PERCALE,60.6,4.55,
,2025-11-21,COL 18309,MARRON,PERCALE,30.0,6.15,
,2025-11-21,COL 322,MAIS,PERCALE ,30.8,5.6,
,2025-11-21,COL 480,TAUPE,SATIN COTON,30.0,7.45,
,2025-11-21,COL NERO,NOIR,SATIN COTON,30.0,8.55,
,2025-11-21,COL 323,CHAMPAGNE,SATIN COTON,30.0,6.9,
,2025-11-21,COL 609,MAUVE,SATIN COTON,28.0,7.45,
,2025-11-21,PELI300B,BLANC,SATIN COTON,30.1,6.35,180.0
,,,,,,,
,2026-01-27,COL 420,,COTON,30.0,5.05,
,2026-01-27,COL 370,,COTON,60.0,5.05,
,2026-01-27,COL NERO,,COTON,60.0,5.05,
,2026-01-27,COL 372,,COTON,30.0,5.05,
,2026-01-27,COL 962,,COTON,30.0,4.3,
,2026-01-27,COL 301,,PERCALE,30.0,5.2,
,2026-01-27,COL 991,,PERCALE,55.0,5.6,
,2026-01-27,COL 520,,PERCALE,26.8,5.2,
,2026-01-27,COL 644,,PERCALE,30.0,5.6,
,2026-01-27,PEGI30BO,BLANC,PERCALE,63.0,4.55,
,2026-01-27,COL 2010,,PERCALE,30.6,5.2,
,2026-01-27,COL 609,,SATIN COTON,30.8,7.45,
,2026-01-27,COL BCO OTICO,BLANC,LIN,30.0,19.15,180.0
,2026-02-06,COL 962,,COTON,60.0,4.3,
,2026-02-06,PELI300B,BLANC,SATIN COTON,60.0,6.35,
,2026-02-06,COL 991,,PERCALE ,30.0,5.6,83.0
