DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2024-12-31,SINU280DF300,,DESSIN SINUZOIDE LAIZE 280 CMS,141.5,4.85,
,2024-12-31,,,DEDOSSAGE - DEDOSSAGE ET ROULADE PLEINE,283.0,0.1,
,2025-04-29,SINU280DF300,,DESSIN SINUZOIDE LAIZE 280 CMS,145.5,4.85,
,2025-04-29,,,FR-FORFAIT ROULAGE,1.0,60.0,
,2025-10-30,SINU280DF300,,DESSIN SINUZOIDE LAIZE 280 CMS,148.0,5.3,
,2025-10-30,ART00000012,,DOUBLURE BLANC OPMATIS,6.0,3.0,
,2025-10-30,,,FR-FORFAIT ROULAGE,1.0,60.0,
