DATE COMMANDE ,DATE DE FACTURE,REFERENCE,COULEUR,DESIGNATION,QUANTITE,PRIX HT AU METRE,TRANSPORT
,2025-01-14,3275192609028,CANNES CREME,FLANELLE MOLLETON 100% COTON CROISE 2/2 GRT 2 FACES 190G,20,5.55,
,2025-09-01,3275191447386,VALERIE BLANC,POLYESTER/COTON SATINETTE,50,3.45,
